EE-Book Equipment Image Companion — SOURCES
Retrieved: 2026-09-18 CT (America/Chicago)
All images from Wikimedia Commons unless noted. Respect each source license for redistribution.

filename | chapter | source name | URL | license | notes
Ch01_substation.jpg | 1 | Monroe Substation.jpg (ThreePhaseAC) | https://commons.wikimedia.org/wiki/File:Monroe_Substation.jpg | CC BY-SA 4.0 | 500 kV BPA substation
Ch01_transformer.jpg | 1 | Jackson Hydro Transformers.jpg (ThreePhaseAC) | https://commons.wikimedia.org/wiki/File:Jackson_Hydro_Transformers.jpg | CC BY-SA 4.0 | Step-up transformers, 115 kV
Ch01_transmission_tower.jpg | 1 | Electricity pylon.jpg (Arnoldius) | https://commons.wikimedia.org/wiki/File:Electricity_pylon.jpg | CC BY-SA 2.5 | HV lattice transmission tower
Ch01_generator.jpg | 1 | Generator-20071117.jpg | https://commons.wikimedia.org/wiki/File:Generator-20071117.jpg | CC BY-SA (per Commons page) | Ganz turbo-alternator 12.5 MW
Ch01_circuit_breaker.jpg | 1 | Circuit Breaker 115 kV.jpg (Wtshymanski) | https://commons.wikimedia.org/wiki/File:Circuit_Breaker_115_kV.jpg | Public domain (PD-user) | 115 kV SF6 outdoor breaker
Ch01_glen_canyon.jpg | 1 | Glen Canyon Dam and Bridge.JPG | https://commons.wikimedia.org/wiki/File:Glen_Canyon_Dam_and_Bridge.JPG | per Commons | Hydro context (folder only)
Ch01_hydro_plant.jpg | 1 | DSCN1028.JPG | https://commons.wikimedia.org/wiki/File:DSCN1028.JPG | per Commons | Hydro facility (folder only)
Ch02_cell_tower.jpg | 2 | Cell Phone Tower.jpg | https://commons.wikimedia.org/wiki/File:Cell_Phone_Tower.jpg | CC BY-SA (per Commons) | Cellular monopole / sector antennas
Ch03_wafer_silizium.jpg | 3 | Siliziumwafer.JPG | https://commons.wikimedia.org/wiki/File:Siliziumwafer.JPG | CC BY-SA (per Commons) | Monocrystalline Si wafers
Ch03_ic.jpg | 3 | Integrated circuit.jpg | https://commons.wikimedia.org/wiki/File:Integrated_circuit.jpg | CC BY-SA (per Commons) | Packaged/module IC with scale
Ch04_plc_siemens.jpg | 4 | Siemens Simatic S7-416-3.jpg | https://commons.wikimedia.org/wiki/File:Siemens_Simatic_S7-416-3.jpg | CC BY-SA (per Commons) | SIMATIC S7-400 rack
Ch04_plc_ab.jpg | 4 | BMA Automation Allen Bradley PLC 3.JPG | https://commons.wikimedia.org/wiki/File:BMA_Automation_Allen_Bradley_PLC_3.JPG | CC BY-SA (per Commons) | ControlLogix rack in panel
